ID,Name,Concepticon_ID,Concepticon_Gloss,Description
toinfectwith,to infect with,,,
suntorch,"sun, torch",,,
inside,inside,,,
goinenter,"go in, enter",,,
goinpenetrate,"go in, penetrate",,,
torch,torch,,,
nine,nine,,,
torootupearthasapig,to root up earth as a pig,,,
breasttosuckle,"breast, to suckle",,,
divedivefor,"dive, dive for",,,
bad,bad,,,
shoalshallowspotinsea,"shoal, shallow spot in sea",,,
toembarkinacanoe,to embark in a canoe,,,
sew,sew,,,
comeapart,come apart,,,
tocutcutoffasinshapinganarrow,"to cut, cut off [as in shaping an arrow]",,,
pathroad,"path, road",,,
inarow,in a row,,,
acrowd,a crowd,,,
todrawdipgetwater,"to draw, dip, get water",,,
smallhandnet,small handnet,,,
crotchforkofthelegs,"crotch, fork of the legs",,,
afantofan,"a fan, to fan",,,
tohitstrikesucceedconvince,"to hit, strike, succeed, convince",,,
hillinlandcountry,"hill, inland country",,,
tobeatuponofrain,to beat upon [of rain],,,
toswell,to swell,,,
toblow,to blow,,,
toblowblowon,"to blow, blow on",,,
earthovenbakeinanoven,"earth oven, bake in an oven",,,
extract,extract,,,
tostand,to stand,,,
maggot,maggot,,,
wade,wade,,,
topointorface,to point or face,,,
torubgrate,"to rub, grate",,,
rain,rain,,,
thepithycoreofbreadfruit,the pithy core of breadfruit,,,
foreignshipobsolete,foreign ship [obsolete],,,
theinhabitedworldgenerallyalltheknownislands,"the inhabited world generally, all the known islands",,,
togive,to give,,,
tostrikeandinjure,to strike and injure,,,
hisgums,his gums,,,
toeatfood,"to eat, food",,,
towhinemewhumbuzz,"to whine, mew, hum, buzz",,,
whininghummingetc,"whining, humming, etc",,,
togrindtheteethshowtheteethsnarl,"to grind the teeth, show the teeth, snarl",,,
snore,snore,,,
replywiththelipshum,"reply with the lips, hum",,,
tohum,to hum,,,
tomix,to mix,,,
landwards,landwards,,,
legfoot,"leg, foot",,,
aknottotietogether,"a knot, to tie together",,,
passivesuffix,passive suffix,,,
hisherits,"his, her, its",,,
thee,thee,,,
yoursingular,your (singular),,,
them,them,,,
who,who?,,,
onethousand,one thousand,,,
unitoftenincounting,unit of ten (in counting),,,
fathom,fathom,,,
yesterday,yesterday,,,
tonailcrosswise,to nail crosswise,,,
tograterubdownonastone,"to grate, rub down on a stone",,,
name,name,,,
breathe,breathe,,,
sun,sun,,,
smoke,smoke,,,
shake,shake,,,
liver,liver,,,
tobeckonsignal,"to beckon, signal",,,
sagopalmsagothatch,"sago palm, sago thatch",,,
goawaygoforth,"go away, go forth",,,
tunabonito,"tuna, bonito",,,
outaway,"out, away",,,
carryinthearms,carry in the arms,,,
yellow,yellow,,,
thingbywhichthingforthepurposeof,"thing by which, thing for the purpose of",,,
toblazeburnaflame,"to blaze, burn, a flame",,,
night,night,,,
totramplekick,"to trample, kick",,,
towithstand,to withstand,,,
stampthefootindancingtreadhard,"stamp the foot in dancing, tread hard",,,
smooth,smooth,,,
day,day,,,
hesheitsubjectmarker,"he, she, it (subject marker)",,,
sugarcanealoan,sugarcane [a loan],,,
liedownsleep,"lie down, sleep",,,
prefixofreciprocity,prefix of reciprocity,,,
tier,tier,,,
totwine,to twine,,,
lapwithstringbind,"lap with string, bind",,,
hisfoodtoeat,his food to eat,,,
toboast,to boast,,,
rafter,rafter,,,
treespearshaft,"tree, spear shaft",,,
weexclusive,we (exclusive),,,
you,you,,,
youplural,you (plural),,,
eat,eat,,,
weinclusiveus,"we (inclusive), us",,,
toknowbeawareofrecognize,"to know, be aware of, recognize",,,
tonibblebitetastesomething,"to nibble, bite, taste [something]",,,
mosquito,mosquito,,,
tobitetaste,"to bite, taste",,,
torubsomethingwiththehand,to rub (something) with the hand,,,
hoofclaw,"hoof, claw",,,
skinbark,"skin, bark",,,
louse,louse,,,
fingernailtoenail,"fingernail, toenail",,,
reefsea,"reef, sea",,,
away,a way,,,
befaralongtime,"be far, a long time",,,
what,what?,,,
totransgressviolate,"to transgress, violate",,,
toinfringeviolategothroughout,"to infringe, violate, go throughout",,,
middaysunoverhead,"midday, sun overhead",,,
alighttoshine,"a light, to shine",,,
totouchsomething,to touch [something],,,
tostoreup,to store up,,,
tohit,to hit,,,
forest,forest,,,
bone,bone,,,
todivesink,"to dive, sink",,,
tosinkdivegodown,"to sink, dive, go down",,,
atlocative,at (locative),,,
this,this,,,
blowwiththemouth,blow with the mouth,,,
fish,fish,,,
nose,nose,,,
she,she,,,
they,they,,,
these,these,,,
tail,tail,,,
fishingnettenfathomslongdrawnbetweentwocanoes,fishing net ten fathoms long drawn between two canoes,,,
adugchannel,a dug channel,,,
fishnet,fishnet,,,
bemixed,be mixed,,,
digaholehewcarve,"dig a hole, hew, carve",,,
tohollowout,to hollow out,,,
tostrikehurtharmbecruelto,"to strike, hurt, harm, be cruel to",,,
befirmsteadyfaithful,"be firm, steady, faithful",,,
arasp,a rasp,,,
toscrapeofcoconut,"to scrape, of coconut",,,
becaughthungupentangled,"be caught, hung up, entangled",,,
tomahawksetonalonghandleforfightingaxeadze,"tomahawk set on a long handle for fighting, axe, adze",,,
cryoutcall,"cry out, call",,,
beachseashoreseawardsouth,"beach, seashore, seaward, south",,,
fivehand,"five, hand",,,
tolookat,to look at,,,
neck,neck,,,
toloadcargo,to load cargo,,,
cargo,cargo,,,
cave,cave,,,
and,and,,,
slippery,slippery,,,
overripe,overripe,,,
tofearbeafraid,"to fear, be afraid",,,
tofeelcold,to feel cold,,,
lightnotheavy,"light, not heavy",,,
beripeoffruit,be ripe [of fruit],,,
beoverripe,be overripe,,,
deepofseadeepsea,"deep (of sea), deep sea",,,
repletewithfoodsatisfied,"replete with food, satisfied",,,
sweet,sweet,,,
cooked,cooked,,,
spiritualpower,spiritual power,,,
bird,bird,,,
toyawngape,"to yawn, gape",,,
light,light,,,
eyeface,"eye, face",,,
garden,garden,,,
tohealupbehealed,"to heal up, be healed",,,
red,red,,,
ofpertainingto,"of, pertaining to",,,
coconut,coconut,,,
root,root,,,
tochange,to change,,,
toexchangesomething,to exchange (something),,,
plank,plank,,,
bestartledjumpwhenstartled,"be startled, jump when startled",,,
tostammer,to stammer,,,
springrebound,"spring, rebound",,,
beclosedupstuffedup,"be closed up, stuffed up",,,
abovetop,"above, top",,,
swellinglumpknottumor,"swelling, lump, knot, tumor",,,
whitepowderedlime,"white, powdered lime",,,
acrab,a crab,,,
towarmoneselfatafire,to warm oneself at a fire,,,
heat,heat,,,
toshineofsun,to shine [of sun],,,
toshineofthesun,to shine [of the sun],,,
duckthehead,duck the head,,,
toduckthehead,to duck the head,,,
tosingasong,"to sing, a song",,,
tosingsomething,to sing (something),,,
takegathercollect,"take, gather, collect",,,
asouthwind,a south wind,,,
navel,navel,,,
womansbreastmilktosuckthebreast,"woman's breast, milk, to suck the breast",,,
tocarrysomethingonthehead,to carry (something) on the head,,,
seashore,sea shore,,,
topaywagesreward,"to pay, wages, reward",,,
woodenmortar,wooden mortar,,,
tabooritualrestrictionbetaboo,"taboo, ritual restriction, be taboo",,,
feces,feces,,,
tokindlelightafire,"to kindle, light [a fire]",,,
siblingofsamesex,sibling of same sex,,,
putplaceappoint,"put, place, appoint",,,
toputplaceappoint,"to put, place, appoint",,,
earthground,"earth, ground",,,
tocollect,to collect,,,
todipsoakinwater,"to dip, soak in water",,,
ridgesaddleofamountain,"ridge, saddle of a mountain",,,
bigmain,"big, main",,,
tongue,tongue,,,
flyinsect,fly (insect),,,
tobearplentifully,to bear plentifully,,,
redant,red ant,,,
tolookmirror,"to look, mirror",,,
fellatreeclearthebush,"fell (a tree), clear (the bush)",,,
tofellatreechopsomethingdown,"to fell [a tree], chop [something] down",,,
largecanoemadefromhardwoodtree,large canoe [made from hardwood tree?],,,
hismothersbrother,his mother's brother,,,
topoint,to point,,,
markblotorcicatricecausedbyburning,"mark, blot, or cicatrice caused by burning",,,
todrip,to drip,,,
torubtheskinaswhenbathing,to rub the skin as when bathing,,,
tendonsinewvein,"tendon, sinew, vein",,,
headtopend,"head, top, end",,,
pillow,pillow,,,
crawfish,crawfish,,,
toeatvegetablefood,"to eat, vegetable food",,,
tofan,to fan,,,
choose,choose,,,
twistedtangled,"twisted, tangled",,,
toflashthrough,to flash through,,,
seven,seven,,,
turtle,turtle,,,
tobeearlyafootinthemorning,to be early afoot in the morning,,,
topluckupbytheroots,to pluck up by the roots,,,
bearfruit,bear fruit,,,
when,when?,,,
murmurwhisperspeaklow,"murmur, whisper, speak low",,,
asail,a sail,,,
pemphisacidula,_Pemphis acidula_,,,
shatterit,shatter it,,,
beaimedaim,"be aimed, aim",,,
causetobearrested,cause to be arrested,,,
chinchinof,"chin, chin of",,,
unopenedsheathorpodofacoconutorbananaunopenedspatheof,"unopened sheath or pod of a coconut or banana, unopened spathe of",,,
advicecorrectionscoldingadvicetohim,"advice, correction, scolding, advice to him",,,
fingernailtoenailclawhisfingernail,"fingernail, toenail, claw, his fingernail",,,
curedpandanusleaf,cured pandanus leaf,,,
arrowroottaccaleontopetaloides,arrowroot (_Tacca leontopetaloides_),,,
alignedoriented,"aligned, oriented",,,
besquareorrectangular,be square or rectangular,,,
turnononessideleanortipsidewayslistslipbetweenthingsbyturningonesbodysidle,"turn on one's side, lean or tip sideways, list, slip between things by turning one's body, sidle",,,
sandisletsandisletof,"sand islet, sand islet of",,,
environsgoinacircuitaroundsomething,"environs, go in a circuit around something",,,
drippingdripof,"dripping, drip of",,,
sliceorcutsomethingintochunks,slice or cut (something) into chunks,,,
begrabbedtakenseized,"be grabbed, taken, seized",,,
drawoutextractdrawlots,"draw out, extract, draw lots",,,
curcumaplant,Curcuma plant,,,
soulhissoul,"soul, his soul",,,
grindonesteeth,grind one's teeth,,,
breadfruitpuddingservedwithcoconutcream,breadfruit pudding served with coconut cream,,,
tosmokeorsteamsomething,to smoke or steam (something),,,
deliveritababy,deliver it (a baby),,,
formaltalklecturesermonspeech,"formal talk, lecture, sermon, speech",,,
deliverorgiveatalketc,"deliver or give (a talk, etc.)",,,
unifyingorjoiningtwothingssoastomakeonebutnotgroupsofpeoplesplicingropetranslatinginterpreting,"unifying or joining two things so as to make one (but not groups of people), splicing rope, translating, interpreting",,,
tounifyjoinsplicesomething,"to unify, join, splice (something)",,,
becoldtothetouch,be cold to the touch,,,
makecoldchill,"make cold, chill",,,
causeittobeburnt,cause it to be burnt,,,
scratchit,scratch it,,,
thickenitmakeitthicker,"thicken it, make it thicker",,,
givehimlife,give him life,,,
makehimashamed,make him ashamed,,,
casthimadrift,cast him adrift,,,
canoesailsailof,"canoe sail, sail of",,,
flotsam,flotsam,,,
ripensomething,ripen (something),,,
besoakedupaswaterasponge,"be soaked up (as water), a sponge",,,
soakorspongeitup,soak or sponge it up,,,
tosellsomething,to sell (something),,,
treathimasamiddleagedman,treat him as a middle-aged man,,,
givefoodtohimfeedhim,"give food to him, feed him",,,
spearthrowingstick,spear-throwing stick,,,
befastenedbestuckorgluedtogether,"be fastened, be stuck or glued together",,,
attachjoinpastegluesomethingadditinarithmetic,"attach, join, paste, glue (something), add it (in arithmetic)",,,
causeittobered,cause it to be red,,,
coloritabrightcoloraswithturmeric,color it a bright color (as with turmeric),,,
tocutitcopra,to cut it (copra),,,
tocutcopraextractcoprafromthecoconutshell,"to cut copra, extract copra from the coconut shell",,,
restvacationberestingfromwork,"rest, vacation, be resting (from work)",,,
destroyitbreakitinpieces,"destroy it, break it in pieces",,,
togratesomething,to grate (something),,,
hiscompanionbuddy,"his companion, buddy",,,
woman,woman,,,
tolovehimher,to love him/her,,,
shockapersonwithtaboolanguage,shock a person with taboo language,,,
cutorwoundhim,cut or wound him,,,
makeastrongeffortatsomething,make a strong effort at (something),,,
perseverebezealous,"persevere, be zealous",,,
smackthelipscauseittosmack,"smack (the lips), cause it to smack",,,
songwhilecarryingfoodtopresenttothechief,song while carrying food to present to the chief,,,
singuponitfoodbroughttothechief,sing upon it (food brought to the chief),,,
leadhimgobeforehim,"lead him, go before him",,,
removeorstripoffbarbededgesofpandanusleaf,remove or strip off (barbed edges of pandanus leaf),,,
signifyitsymbolizeitguessitofariddle,"signify it, symbolize it, guess it (of a riddle)",,,
signsymbolsignofit,"sign, symbol, sign of it",,,
gooff,go off,,,
insertitputitbetween,"insert it, put it between",,,
passchunksofbreadfruit,pass chunks of breadfruit,,,
thatoutofsightorinthepasttheonealreadymentionedandnotpresent,"that (out of sight or in the past), the (one already mentioned and not present)",,,
itexists,it exists,,,
peeroutatlookoutfor,"peer out at, look out for",,,
softlysunglovesong,softly sung love song,,,
givevoicetoitbeginitofasong,"give voice to it, begin it (of a song)",,,
makehimfight,make him fight,,,
thereisnotitdoesnotexist,"there is not, it does not exist",,,
becurvedmakeacurvingcourse,"be curved, make a curving course",,,
scratchlightlyonapersonslegasasignal,scratch lightly on a person's leg (as a signal),,,
timeofittimeof,"time of it, time of",,,
accompanygowithsomeoneattendschool,"accompany, go with (someone), attend (school)",,,
tofight,to fight,,,
scratchalotscratching,"scratch a lot, scratching",,,
walkstronglyandheavilytrampwalkrestlesslyinthepresenceofanimportantperson,"walk strongly and heavily, tramp, walk restlessly in the presence of an important person",,,
smallpebbles,small pebbles,,,
bepebbly,be pebbly,,,
steporrungofaladder,step or rung of a ladder,,,
underwater,underwater,,,
outeroroceanside,outer or ocean side,,,
hundred,hundred,,,
thenthereupon,"then, thereupon ",,,
menstrualhut,menstrual hut,,,
lightning,lightning,,,
nameofagoddessassociatedwithlovemagic,name of a goddess associated with love magic,,,
leanonelbowswithhandunderchin,lean on elbows with hand under chin,,,
youcomefromwhere,you come from where?,,,
tobuybebought,"to buy, be bought",,,
runningrace,running race,,,
paddlecanoerace,paddle-canoe race,,,
makeuprightmakestanderect,"make upright, make stand erect",,,
stoppause,"stop, pause",,,
stopaltogetherceasehalt,"stop altogether, cease, halt",,,
comforttranquilitypeacebecomfortable,"comfort, tranquility, peace, be comfortable",,,
tobouncealongasamotorboat,to bounce along (as a motorboat),,,
beroughtothetouchbutnottotheeye,be rough to the touch (but not to the eye),,,
hardplaceshallowareastuddedwithsharpcoral,"hard place, shallow area studded with sharp coral",,,
thereisthereexists,"there is, there exists",,,
threadofanykindusedonaloom,thread of any kind used on a loom,,,
meekhumblelowly,"meek, humble, lowly",,,
effectingman,effecting man,,,
disguisedincodeoftalk,"disguised, in code (of talk)",,,
womanpolitetermofaddresstoawoman,"woman, polite term of address to a woman",,,
atthebeginningofit,(at the) beginning of it,,,
endofit,end of it,,,
torsotrunk,"torso, trunk",,,
timeofeveningmeal,time of evening meal,,,
hollowconcavityhollowplacevalleyinnerside,"hollow, concavity, hollow place, valley, inner side",,,
placeofemotionintheabdomen,place of emotion (in the abdomen),,,
coreatthecoreitscoreatitscore,"core, at the core, its core, at its core",,,
middaynoon,"midday, noon",,,
lateafternoon,late afternoon,,,
gift,gift,,,
makeagiftto,make a gift to,,,
amatterofchoiceachoosyperson,"a matter of choice, a choosy person",,,
babygirl,baby girl,,,
personwithshortfingers,person with short fingers,,,
personwhocantbeseparatedfromthecompanyofhisorherspouse,person who can't be separated from the company of his or her spouse,,,
unmarriedperson,unmarried person,,,
twinofsiblings,twin (of siblings),,,
tocomebackreturnareturnorexchangefor,"to come back, return, a return or exchange for",,,
makereturntohimpaybackforitreturnit,"make return to him, pay back for it, return it",,,
bowandarrowrubberslinganddart,"bow and arrow, rubber sling and dart",,,
smallspeciesoffruitbat,small species of fruitbat,,,
girlyoungwoman,"girl, young woman",,,
causeittojumporhop,cause it to jump or hop,,,
removeitfromoneplacetoanothertakeitoutofitssocket,"remove it from one place to another, take it out of its socket",,,
todislike,to dislike,,,
causeittobeopen,cause it to be open,,,
seeoffonajourney,see off (on a journey),,,
breastherbreast,"breast, her breast",,,
putyoungcoconutleavesonsomething,put young coconut leaves on (something),,,
makeithighelevateit,"make it high, elevate it",,,
brightredbrightrednessof,"bright red, bright redness of",,,
besquareorrectangularinshape,be square or rectangular in shape,,,
beononesideleanortipsideways,"be on one side, lean or tip sideways",,,
coconutgrater,coconut grater,,,
moldysmellearthysmelltosmellmoldy,"moldy smell, earthy smell, to smell moldy",,,
smellofringworm,smell of ringworm,,,
tosplitcrackcheckofwoodorskin,"to split, crack, check (of wood or skin)",,,
sick,sick,,,
godofrain,god of rain,,,
exchangeswaptradereplacement,"exchange, swap, trade, replacement",,,
replacetaketheplaceofsomething,"replace, take the place of (something)",,,
hibiscus,hibiscus,,,
lordofachaw,Lord of Achaw,,,
beembarrassedbecauseofhim,be embarrassed because of him,,,
nameofachieflyclan,name of a chiefly clan,,,
belowhumble,"be low, humble",,,
basaltpeakaplaceonweenethatwassacredtothecultofsowukachaw,basalt peak (a place on Wééné that was sacred to the cult of _sowukachaw_),,,
enter,enter,,,
mosquitonet,mosquito net,,,
risingofthesoutherncross,rising of the Southern Cross,,,
clannameonlowisland,clan name (on low island),,,
vicinityneighborhood,"vicinity, neighborhood",,,
periodjustbeforedaybreakordawn,period just before daybreak or dawn,,,
babyboy,baby boy,,,
barringtoniaasiaticawhosefruitisusedasfishpoisonandtocauterizewounds,"_Barringtonia asiatica_, whose fruit is used as fish poison and to cauterize wounds",,,
mountaintop,mountain top,,,
none,,,,
pickorgatherbreadfruit,pick or gather breadfruit,,,
embarrasingcausingembarrassment,"embarrasing, causing embarrassment",,,
toturnsomethingtofaceinanotherdirection,to turn (something) to face in another direction,,,
thewardingoffofsorcery,the warding off of (sorcery),,,
chaseawaycausetorun,"chase away, cause to run",,,
toalternateexchangechangeoff,"to alternate, exchange, change off",,,
toskipstones,to skip stones,,,
causesomethingtoskipasastone,cause (something) to skip (as a stone),,,
boxingstrikingwiththefist,"boxing, striking with the fist",,,
strikehimwiththefist,strike him with the fist,,,
lightitafirecauseittoglow,"light it (a fire), cause it to glow",,,
makehimafraid,make him afraid,,,
causehimtobesated,cause him to be sated,,,
makeitmove,make it move,,,
foldupamatorsaillowerasail,"fold up (a mat or sail), lower (a sail)",,,
giveshadeto,give shade to,,,
softmeatofdrinkingcoconutwhiteofaneggitssoftmeat,"soft meat of drinking coconut, white of an egg, its soft meat",,,
coverorlidcoverof,"cover or lid, cover of",,,
makeitcovered,make it covered,,,
thenumbertwotwo,"the number two, two",,,
makesomeonerich,make (someone) rich,,,
draghaulhoistsomething,"drag, haul, hoist (something)",,,
makeitstandbuildit,"make it stand, build it",,,
makestopmakehalt,"make stop, make halt",,,
effectingspirit,effecting spirit,,,
crossbeamofhouse,cross-beam of house,,,
riverstream,"river, stream",,,
shouldercarryingpole,shoulder carrying pole,,,
carrysomethingonapole,carry (something) on a pole,,,
reachforsomethingthatisnotwithinreachreachoutandfallshortofonesgoaltryandfail,"reach for something that is not within reach, reach out and fall short of one's goal, try and fail",,,
reachforandfallshortof,reach for and fall short of,,,
getridoferaseobliterate,"get rid of, erase, obliterate",,,
placeitsetit,"place it, set it",,,
bedisgustingrepellentrepugnantadisgustingthing,"be disgusting, repellent, repugnant, a disgusting thing",,,
deepenit,deepen it,,,
makeitcurved,make it curved,,,
towaitfordarkfightundercoverofdarkness,"to wait for dark, fight under cover of darkness",,,
todarkensomething,to darken (something),,,
beexterminatedannihilated,"be exterminated, annihilated",,,
finishupuseupannihilatesomething,"finish up, use up, annihilate (something)",,,
makeanendofit,make an end of it,,,
makeaterminationfeastforit,make a termination feast for it,,,
offeringtoaspirit,offering to a spirit,,,
tomakevisibletoviewsomething,"to make visible, to view (something)",,,
astar,a star ,,,
realitymodemarkersuffixedtosubjectpronoun,reality mode marker (suffixed to subject pronoun),,,
countingclassfierforforeheadsbrowsvisorsetc,"counting classfier for foreheads, brows, visors, etc",,,
classifierforcountingtentaclesofoctopusorsquid,classifier for counting tentacles of octopus or squid,,,
smalllittle,"small, little",,,
stringsoffishcountingclassifier,strings of fish (counting classifier),,,
constantlyallthetimealways,"constantly, all the time, always",,,
counterforsuchstrips,counter for such strips,,,
handofbananas,hand of bananas,,,
usexclusive,us (exclusive),,,
youpluralobject,you (plural object),,,
portionofpremasticatedfoodcountingclassifier,portion of premasticated food (counting classifier),,,
mouthfulorswallowofliquidcountingclassifier,mouthful or swallow of liquid (counting classifier),,,
lefthandedleftside,"left handed, left side",,,
pieceofwoodcountingclassifier,piece of wood (counting classifier),,,
verbsuffixindicatingacquisitionorownership,verb suffix indicating acquisition or ownership,,,
inwardsouthward,"inward, southward",,,
long,long,,,
palmfrondgarlandstalkwithleavesincounting,"palm frond, garland, stalk with leaves (in counting)",,,
sideincounting,side (in counting),,,
chipincounting,chip (in counting),,,
futureaspectmarker,future aspect marker,,,
emptily,emptily,,,
dislikedbad,"disliked, bad",,,
futurenegativewillnotmustnot,"future negative, will not, must not",,,
not,not,,,
halfdivisionpartincounting,"half, division, part (in counting)",,,
sliceofcopra,slice of copra,,,
downwestward,"down, westward",,,
towardspeakerhither,"toward speaker, hither",,,
veryintensifyingadjective,"very, intensifying adjective",,,
upupwardeastwardrising,"up, upward, eastward, rising",,,
packagepacketincounting,"package, packet (in counting)",,,
towardorindirectionofpersonaddressed,toward or in direction of person addressed,,,
outwardtothenorth,"outward, to the north",,,
breastincounting,breast (in counting),,,
fingercountingclassifier,finger (counting classifier),,,
himherit,"him, her, it",,,
higheast,"high, east",,,
of,of,,,
threadhairincounting,"thread, hair (in counting)",,,
