PPC	*adoola	‘variety of sweet-husked coconut palm’	Chk atoon, ótoon; Pul yótool, yótoolá-(n); Crl atool; Wol atoole; PCk *adoola; Pon adool	Cf. Yap waqthoel, waqtoel, waqtool ‘a type of tree’.		
PPC	*cip[ae]	‘comforted, consoled’	Chk chip, chipe-(nó); Pul Rip ‘be c., consoled’, Ripe-e-(y) ‘c. him/her’; Crl (á)-shipaship, (á)-shipashipa, shipe-e-(y) ‘act in an appeasing manner, appease or bribe (s.o.), comfort or console (s.o.)’; Crn Ripe-e-(y) ‘comfort or console (s.o.)’; Wol shipe ‘to recover from crying or anger’, (ga)-shipe-(e) ‘comfort him/her’, (ga)-shipeshipe ‘comfort, console’; PuA ? sipe, sipesipe ‘to beg, pray’; PCk *cip[ae]; Pon tip ‘to be full after eating (honorific)’.	Cf. Kir riba-na ‘to till, cultivate (s.t.)’.		
PPC	*coko, li-coko	‘to cluck, clucking bird’	Chk (ó)-chokochok ‘c. or call to chicks (by mother hen)’, ni-chchok, -chchoke-(n), -chchoku-(n) ‘a small land bird (probably bush warbler)’; Pul (ó)-coccok ‘c.’, li-ccok, -ccoko-(n) ‘a small bird (probably bush warbler)’; Crl (li) -tchogh ‘sp. of bird’; Crn (li)-tchog ‘sp. of bird’; Wol li-chchogi ‘a kind of bird’; PCk *ccoko, cokocoko, liccoko; Pon li-tok ‘hen’.	Cf. Mok li-sok ‘sp. of fish’.		Note that Mrs tékwékwkwékw ‘clucking of a hen’ has an initial t instead of expected d and is, therefore, an apparent loan from Pon or Chk. 
PPC	*-de	‘negative imperative aspect marker, lest (purposeful future negative)’	Chk -te; Mrt -te; Pul -te; Crl -te; Wol -te ‘should not, won't, may not, ought not’; PCk *-de; Pon dɛ ‘lest’.			
PPC	*dera-úna	‘fish scales, be scaled’	Chk téré-wún, téré-wuna-(n) ‘s. (of fish), its s.’; Pul teraa-wúna (sic) ‘to scale (a fish), pluck (feathers)’, tera-wúna (sic) ‘a fish that has been s., plucked bird’; Crl tera-yili, tera-yúli ‘to scale (a fish)’; Wol tera-úle ‘to scale fish, be s.’, teraúla-(a) ‘to scale it’; PCk *d(ea)ra-úna; Pon (kɛ)-dɛr-win ‘to scale, pluck’, (kɛ)-dɛr-wina ‘to scale or pluck (s.t.)’.	Cf. Mrs kar-win ‘to scale fish, be scaled’.	See PMc *una, unauna, una-fi ‘hair, feathers, scales, remove (hair or scales)’.	
PPC	*die	‘squeezed, pushed together’	Chk ti ‘be crowded, p. together’, tiiti ‘shove, push, shoving’; Wol tiye ‘be s., p., packed, jammed’; PCk *die; Pon diɛ ‘to poke (s.t.), push or pull (s.t.) with a stick or the feet’.	Cf. PPC *didi, di- ‘fence, wall’.	Cf. PMc *[sS]ixi, [sS]ixi-ŋi- ‘push, shove’.	
PPC	*didi, di-	‘fence, wall’	Chk ttiit, titti-(n) ‘f., w., house partition, hegde, pen, f. of’, tti-i(y), titti-i-(y) ‘f. or enclose (s.t.)’, (e)-ti-(ip), (e)-ti-(ppa-n) ‘w., partition of a house, room, his r.’; Pul titti-(n) ‘barrier, enclosure, w. of’, ti-i-(y) ‘build (a barrier, enclosure, wall), shut, close’; Crl tti ‘shut, close, secure (s.t.)’, ttii-(ló) ‘close, shut’, ti-i-(y) ‘to close, shut (s.t.)’, ttit ‘be closed, shut’; Wol tti ‘be closed, enclosed, shut’, tti-i-(ye) ‘close it, shut it’, tti-(paape) ‘w. board of a house’, tiiti (sic) ‘partition, house w.’; PuA titi (sic) ‘w., beam dividing floor of house into sections’; PCk *di-, ddi, diddi, didi, di-i-, ddi-i-; Pon diid ‘w. of a building’, did ‘build a w.’, didi-i ‘build (a w.)’; Mok did ‘w., to make a w.’	Cf. PEO *[sz]i[sz]i, [sz]idi, [sz]in[sz]i; Bug hidi ‘wall, stone wall’. @Cf. Saa tete ‘stone fence’. @Cf. also Mrs kiyi- ‘side of a house’. |Kir (te)-riri ‘grass skirt’ is a loan from a Pn source (cf. Fij lili).		
PPC	*diwa-ike	‘ninety’	Chk ttiwe ‘n.’, (e)-ttiwe-e-(n) ‘ninetieth’; Pul ttiwe; Crl tiwe-igh; Wol tiwe-ige; PuA tio-iki; PCk *diwa-ike; Pon duwɛ-ɛk.		See PMc *Siwa ‘nine’.	
PPC	*dowu	‘stab, pierce, be stabbed, pierced’	Chk ttu ‘be sewn, stitched (of thatch), be thrown, hurled, jabbed, stabbed (of spears only)’, ttuu-(w) ‘sew, stitch (thatch), s., jab, hurl (a spear)’; Mrt ttowu ‘to s. (s.o.)’; Pul tto, ttow ‘to s., p., spear, vaccinate, inject’, ttow-(púŋ) (sic) ‘to s., to spear’; Crl ttow ‘to spear s.t., s. s.t., give one an injection’, toutow ‘to spear repeatedly, engage in spearing, be thorny, thorns’; Stw towutow ‘to s.’; Wol toutou ‘to spear, innoculate, s., p.’, tou-u-(we), ttou-u-(we) ‘to spear it, s. it, p. it’, ttou ‘pick with fork, s.’; PuA tou ‘spear it, poke it, inject it’, toutou ‘to spear, poke, inject’; PCk *dowu; Pon dow-(y-ak) ‘a type of spearfishing done in mangrove swamp’.	Cf. Fiji sovu, sovu-ta ‘break a hole in thin things’. @Cf. also Saa susu ‘to prick, p., impale, sew’; Kwa susu ‘jab, inject, injection’; Aro susu, susu-’i ‘to prick, p., impale’; Lak susu ‘to push into’; PKb *sudu ‘to push forward’; UAn *susuk ‘p.’	See also PMc *[sS]owu, [sS]owu-ti- ‘to dig’.	
PPC	*edda, #eeda	‘the number one, one (in serial counting)’	Chk eet ‘one’, etté-(rúúw) ‘one-two (in counting by twos)’; Mrt eet; Pul yéét; Crl eet, éét; Stw yéét; Wol yete, yeta (sic); PCk *edda, #eeda; Pon ɛɛd; Mok ɔɔd; POc *([ei])-(n)sa, ([ei])-(n)sasa ‘one’ (Tonga taha [? < *nsasa]. Saa [’e]-ta, ta’a. Ula ta’e. Bug [ke]-ha. Aro ta. Kwa [e]-ta, te’e. PLk *sasa ‘one’); UAn * (e)-sa, (i)-sa.	Cf. Ksr sie ‘one’; POc *sa (Ross 1988).		
PPC	*faa	‘brave, strong’	Chk fa ‘be b., bold’; Wol faa-(tagi), faa-(tagitegi) ‘be b., s.’; PCk *faa; Mok pa ‘be talented’.			
PPC	*faco	‘long object’ (counting classifier)	Chk -fóch, fóchú-(n) ‘l. o., l. o. of’; Pul -fóR; Crl -fósh; Crn -fóR; Stw -fóR; Wol -fasho; PuA -daso ‘moving object (counting classifier)’; PCk *-faco; Pon -pwɔt ‘l. o.’ (counting classifier).			
PPC	*fadili	‘any grass, sedge, or fern’	Chk fetin, fetini-(n); Mrt fatil; Pul fátil, fátili-(n); Crl fitil, fetil; Stw fetin; Wol fatili; Uli fáthIl; PuA datini; Sns fatini; PCk *fadili; Pon (rɛɛ)padil ‘sp. of grass (Ischaemum chordatum)’.	Cf. Yap baeyil ‘type of grass’.		
PPC	*fadi, fadi-ki-	‘pinch or squeeze with the fingers’	Chk fetti-k, feyitti-k ‘p. with the f.’, fetti-ki-(i-y), feyitti-ki-(i-y) ‘p. it’; Pul fatiki-(y) ‘to p.’; Crl fáte-ghi. fáti-ghi ‘to p. (s.t.)’; Crn fitigi ‘to p. (s.t.)’; Wol fati-gi-(i) ‘p. it, pluck it, nip it, pick it up with finger tips’; PuA dati-ki ‘p. it’; PCk *fadi-ki-; Pon pɛd ‘be squeezed or pressed’, padi-k ‘to squeeze or press’.			
PPC	*fadúla	‘canoe paddle’	Chk fétún, fétúne-(n) ‘c. p., p. of’; Pul fatúl, fatúlá-(n); Crl fatúl; Wol fatúle; PuA datúna; PCk *fadúla; Pon padil; Mok padil.			
PPC	*fai[ae]	‘fare, proceed’	Chk feyiye- ‘f., p., happen’, feyiya-(ŋŋaw), feyiye-(pwutak) ‘go badly, have bad luck’, feyiyé-(éch), feyiyé-(wútek) ‘go well, have good luck’, feyiye-(mwmwen) ‘parting gift of food’; Pul fáye-(ŋŋaw) (sic) ‘have bad luck, be in trouble’, fáye-(fiR) (sic) ‘be lucky, well off’; Wol faiye- ‘fortune, luck’, faiye-(ŋŋawe), faiye-(pwuto) ‘have bad luck, be at a disadvantage’, faiye-(fishi), faiye-(mwaaú) ‘be lucky, fortunate’; PuA (ka)-daie-(maú) (sic) ‘be happy, blessed, lucky’, (ka)-daie-(pwitelú) ‘to be cursed’; PCk *fai[ae]-; Pon paya-(mwaaw) ‘luck, good fortune, be lucky’, payɛ-(ntɛ) ‘luckily, fortunately’; Mok pay ‘good fortune, be fortunate’.			
PPC	*fala, ka-falafala	‘adzing, cut with an adze’	Chk fanafan ‘adzing, adze work’, fana ‘c. or shape it with an a.’, fane-(e-y) ‘c. or shape it with an a.’, fane-(e-ya-) ‘thing adzed by (s.o.)’; Mrt falafal ‘c. or carve with an a.’; Pul fal, falefal ‘to carve, cut, hew’, fale-y ‘carve, adze, or cut it’, fale-ya- ‘thing adzed by (s.o.)’; Crl fala, fale-e-y ‘chop, split (wood)’, falafal ‘adzing, chopping, notches cut in a coconut tree’; Stw ya-falafal ‘c., carve with an a., steps cut in coconut tree’; Wol falefale ‘to c. or hew with an a.’, fela-(a) ‘c., hew, or carve it with an a.’, ge-fale-fale ‘steps on coconut tree, to make such steps’; PuA danadana ‘carving, to carve, chop wood’, dana ‘to chop it’; PCk *fala, falafala, fala-(a), (ka)-falafala; Pon pal ‘hack with a knife’, pɛlɛ ‘hack it’, pɛlɛpɛlɛ-(n sikaliwi) ‘notches in coconut tree’; Mok pɔlpɔl ‘to chop’, pɔlɔ ‘chop (s.t.)’, ka-palapal ‘steps cut in coconut trunk’.	Cf. Mrs yayéy ‘to carve, to repair a boat, to fix or overhaul’; Ksr yɛ-ki ‘to carve out’; Ksr falfal ‘split, saw lengthwise’ |(a loan); Ksr falke ‘c. steps in a coconut tree’ |(a loan).		
PPC	*fawo-ni-pei	‘name of Pohnpei Island’	Chk fóónupi; Pul fóónepeey; Crl fóólopey; Wol fóólopei; Pon poonpey; Mok poonpey; Mrs bwéwénpéy; Ksr ponpe.		See PMc *fawo ‘surface, on’, PMc *-ni ‘of, pertaining to’, PCMc *pei ‘stone structure’.	The Pon, Mok, and Chk forms appear to be cognate; the remainder are clearly loans from the Pon or Chk forms. 
PPC	*fee	‘engage in sexual intercourse, perform an action’	Chk fe ‘e. in s. i.’, fee-(y) ‘have sex with him/her’; Pul fe; Crl fe, fee-(y); Wol fee, fee-(ye); PuA dede (sic); Sns feefe; PCk *fee; Pon (a)-pɛ ‘perform or cause some action or motion, have s. i.’, (a)-pɛɛ-nɛ ‘have sex with him/ her’.	Cf. Crl fai-li-aa- ‘lover’; Uli fáás ‘penis’; Lau fai- ‘performative pref.’, fai ‘do with, help in’; Lak vai-, va-, vi- ‘causative or performative prefix’.		
PPC	*fele	‘to peck’	Chk ffen, feffen ‘to p. (as a chicken)’, fene-e-(y) ‘p. it’; Crl ffel, fele-e(y); Wol felefele, file-e-(ye); PCk *fe[ln]e; Pon pɛl, pali-i.			
PPC	*fin[ei]	‘wrapped, bound up’	Chk finifin ‘wrapping, bandage’, fini-ti ‘bandage it, wrap cloth or matting around it (end-piece of a canoe)’, fis-sópw (<*fini-sópw) ‘wrapping of coconut cloth and rope on the end-piece of a canoe’, ffiit, fit-ti-(n), #fiit-ti-(n) (*fini-ti-[n]) ‘snarl, tangle, entwining’, ffiit, fiffiit ‘be snarled, entangled, entwined’, fit-tek (*fini-tek)’be twisted, writhe’, fit-ti-i-(y) (*fini-ti-i-[y]) ‘wind upon it, twine about it, wind it up (as a fishline on a stick)’; Crl fit-ti (*fili-ti) ‘to wrap rope, string, or garland around (s.t.)’, (á)-fit-ti ‘to braid, coil, or entwine (s.t.)’; PCk *fi[ln]i, fi[ln]i-di-; Pon pinipin ‘closely twisted or curled, kinky, tangled’, pinpɛnɛ ‘to wrap around (s.t.)’.	Cf. UAn *biliŋ ‘turn, twist’, *bilit ‘wind up, roll’.	Cf. also PMc *fi- ‘mutually’, PMc *fira, fira-[kx]i ‘to twist’, PWMc *fiŋi-[sS]i ‘to twist, twirl’.	
PPC	*idi, idi-[ŋØ]i-	‘point, have direction’	Chk iti- ‘p., be toward, face (in a direction)’, itiit ‘d. in which s.t. points or faces’, iti-ni ‘p. toward it’, (a)-yit ‘show, make demonstration, give instruction’; Pul iti (sic) ‘to lie (as a stick), to face (as a house), yitiiti-(n) ‘d. facing’, yitiit ‘to p. at’, yiti-ŋi-(y) ‘p. (s.t.) out’; Crl itiit ‘a p., pointing projection’, (a)-iti ‘guide (s.o.), p. out (the way)’; Wol itiiti ‘destiny, doom, mortality’; PuA iti- ‘go (in a d.)’; PCk *idi, idiidi, idi-ŋi; Pon idi- ‘p. (in a d.)’, idi-i ‘to p. at’.			
PPC	*-ik[ae]	‘counter for tens’	Chk -Ø, -e-, -ik, -ika- ‘c. for t.’, rúwe, (é-rúwe)-e-(n) ‘twenty, twentieth’, nime, (e-nime)-e-(n) ‘fifty, fiftieth’, ini-ik, (e-ini)-ika-(n) ‘thirty, thirtieth’, wani-ik, (awani)-ika-(n) ‘eighty, eightieth’; Pul -Ø, -e-, -ik, -ika-; Crl -igha- (as in [a-ruwe]-igha-[l] ‘twentieth’); Wol -ige (as in [se]-ige ‘ten’, [rúwe]-ige ‘twenty’); PuA -iki (as in [de]-iki ‘ten’); PCk *-ik[ae]; Pon -ɛk, (as in [ɛ]-ɛk ‘ten’, [riɛ]-ɛk ‘twenty’, [limɛ]-ɛk ‘fifty’, [wɛlɛ]-ɛk ‘sixty’, [duɛ]-ɛk ‘ninety’).	See also Pon -akan |(as in [sili]-akan ‘thirty’, [isi]-akan ‘seventy’, [wɛli]-akan ‘eighty’).	Cf. PCMc *-itaki ‘counter for tens’, PMc *-ŋawulu ‘unit of ten (in counting)’.	
PPC	*ila, ilaila	‘carry in the mouth’	Chk ine-e-(y), ine-yi ‘to hold (s.t.) in one's teeth’; Crl ileil ‘to seize s.t. and run off with it in the m. (as a dog)’; Pon ilayl ‘to c. in the m.’, ila ‘to c. (s.t.) in the m.’			
PPC	*iyu, iyua	‘to grind, grate’	Chk iiw, iwe-(n) ‘grindstone, whetstone, g. of’; Pul yiiyuw, yiiyuwá-(n) (sic) ‘whetstone, w. of’; Crl iyuw ‘whetstone’; Pon uu ‘sharpening stone’.	Cf. Kir ii ‘to grate, grind’, (te)-ii ‘the process of grating or grinding’, ii-a ‘to grate, grind (s.t.)’; Ksr ii ‘rub, erase, wipe’, i-l ‘grind, grate, whet, rub (s.t.)’, |which appear to be cognate with Wol iriiri ‘to rub, scrub’ (PMc *iri, iriiri ‘rub, scrub’).		
PPC	? *kaapi	‘yam’	Chk kááp, #káppi-(n), #kááppi-(n) (eep, #eppi-(n) appear to be loans) ‘yam, y. of’; Pon kɛɛp, kɛɛpi-n; Mok kɔɔp.	Cf. PMP *qubi |(Blust 1984–85).		
PPC	? *kaúlú	‘sing, song’	Chk kkéén, kkéénú-(n) ‘sing, song, s. of’; Mrt kkéél; Pul kéél; Crl kkéél, kkéélú-(l); Crn kkéél; Stw kkéél; Pon kowl, kowli-(n); Mok kɔwl. Cf. Ksr on ‘song, sing’.		Cf. PWMc *kau, kakau, kau-ri, kakau-ri ‘call, call to’, PMc *alele ‘to reckon, sing’.	
PPC	*kere	‘happy’	Wol kkere ‘be h., glad, rejoice, be delightful, pleasant’, (ga)-kkere-(e) ‘make him h., delight him’; PuA kkele ‘be h., joyous, glad’; PCk *kkere; Pon kɛrɛ-(mwɛl) ‘h., joyful (honorific)’.			
PPC	*-ki[tT][ai]	‘little bit’	Chk kis, kisikiis, -kkiis ’l., small’, (e)-kis ‘a l., a bit (in counting)’; Pul (ye)-kúh, (ye)-kús; Crl (e)-ghús; Wol (se)-kkúte, (se)-kkiite (archaic); PCk * (te)-ki[tT][ai]; Pon -kis ‘counter for small objects’; Mok kij ‘bit, piece’, kijkij ‘fraction’; Png (e)-kis ‘a small piece’	Cf. Tonga si'i ‘l.’; Sam itiiti ‘l.’	Cf. also PMc *kisi ‘small, little’.	
PPC	? *koyikoyi	‘piping or whistling sound, piping bird’	Chk koyikoy ‘a piping bird’, (o)koyikoy ‘a small whistle’; Pon koykoy ‘broadbill bird’.	Cf. Mrs kwel ‘semi-palmate sandpiper’; Fij kalu ‘to whistle’; Bug guigui ‘to whistle’; Lak (vialo) kolukolu ‘whistle up and down on two notes’. @Cf. also Pon kulu ‘golden plover’; Kir (kani)-momoi ‘to whistle’; Ksr kulul ‘sandpiper’.		
PPC	*-kú-	‘back or nape of head and neck’	Chk #kúú, kúú-(n) ‘b. or n. of h. and neck, b. of his h.’, (epi-ni)-kú, (epi-n) kúú-(n) ‘b. of the h., n. of the neck, b. of his h.’; Pul (yápi-nú)-kú-(n) ‘b. of his h.’; Crl (api-lú)-ghú-(l) ‘n. of his neck’; Crn (api-nú)-gú-(n) ‘n. of his neck’; Wol (gapi-lú)-gú ‘b. the h.’; PCk *kúú; Pon (kɛpi-n pay)-ki ‘lower part of the b. of his h.’; Mok (kɔpi-n pay)-k, (kɔpi-n pay)-ki-(n) ‘b. of the h., b. of h. of’.	Cf. PKb *kisu, kidu ‘b. or n. of one's neck’; Aro ’u’u-(na) ‘his neck, throat’; PEO *keju- ‘b. of the h.’ |(Geraghty 1983). @Cf. also Ksr (in)-kwɛwɛ, (in)-kwɛwe-(n), kwɛwe(n) ‘neck, n. of’.	Cf. PMc *ua3 ‘neck’.	There are problems with reconstruction here, since the form has been preserved only in compounds outside of Chk and reinterpreted along the way. 
PPC	*kúaili	‘kind of lizard’	Chk kúúween, kúween, kúúweeni-(n) ‘kind of l., l. of’; Pul kúweel, kúweli-(n); Crn gúyél ‘small green l.’; Wol gúweeli; PCk *kúeeli or *kúaili; Pon and Mok kieyl.	Cf. Mrs (man)-niwyaļ; Ksr kinʌul.		
PPC	*kumwucú	‘fist, hand, and wrist’	Chk kumwuch, kumwuchu-(n) ‘f., hoof, foot, paw, f. of’, -kumwuch ‘fistful, handful, hoof, foot, paw (counting classifier)’; Mrt kumwushu-(n) ‘his h.’; Pul kumwúR ‘w., h.’; Crl gumwush, gumwushú-(l)’ ‘w. and h., w. and h. of’; Crn gumwuR ‘w. and h.’; Stw kumwuR ‘h.’; Wol gúmwúshú ‘w.’, -gúmwúshú ‘wrist-length (from w. to fingertips) (counting classifier)’; PuA kumusú ‘f.’; PCk *kumwucú; Pon kumwut, kumwuti ‘f., his f.’; Mok kumwus, kumwusi-(n) ‘w., his w.’	Cf. Saa kumu, kumukumu ‘to punch, to beat with the f.’		
PPC	*kurupwu	‘small young coconut’	Chk kurupw, kurupwu-(n), #kuruwpwpwu-(n) ‘tiny c. in first stage of growth’; Pul kurupw, kurupwi-(n) ‘immature fruit (of coconuts or limes)’; Crl ghurubw ‘small young c.’; Crn gurubw ‘small young c.’; Wol gurubu ‘young c.’; PCk *kurupwu; Pon kurupw ‘immature c.’			
PPC	*kuTu	‘squirt out, spit out, ejaculate’	Chk kus ‘squirt out, be squirted out, flow (of blood), escape, get away’, kkus ‘spurt, be discharged, be spit, be squirted, be ejaculated (of sperm)’, kusu-fi, kii-fi ‘spit it out, spit on him’, kkusi-(iti) ‘be squirted or ejaculated upon (s.t.)’; Pul kúh ‘to be discharged, poured or spilled out, drained, to spurt out’, kúhú-fi-(y) ‘to spit out (s.t.)’; Crl ghus, ghusu-(wow) ‘to discharge suddenly, to leak out (as from a faucet)’, ghusu-fi ‘to spit out (fluid) from the mouth, to blow (chewed up medicine) onto an affected area’, kkus ‘to ejaculate’; Crn guh ‘to discharge fluid, to drain out, to leak out (as from a facuet)’, guhuu-fi ‘to spit out (fluid) from the mouth’; Wol kkusu ‘sperm, to eject sperm, spout, emit’, kkutu ‘spit, spittle, to spit’, gusu-fi-(i) ‘blow it out (with the mouth), spit it out’, gutu-fi-(i) ‘spit on it’; PuA kutu-de ‘spittle, to spit’; PCk *kuTu, kuTu-fi; Pon kus ‘to gush, to climax, to ejaculate’; Mok kuj ‘to gush’, kuj, kuji-(n) ‘semen, s. of’.	Cf. Kwa ’usu ‘have sexual intercourse’. @Cf. also Saa pusu ‘to spurt out, squirt’.		
PPC	*laawa	‘have s.t. caught in the throat’	Mrt laaw ‘c. in the t.’; Crl laaw ‘choke on a bone c. in the t.’; Wol laawe ‘have s.t. stuck in the t.’; PCk *laawa; Pon loo ‘have s.t. stuck in one's t.’	Cf. PEO *laqaRa ‘choked’ |(Geraghty 1990).	Cf. also PCk *nnawa ‘to cough’.	
PPC	*lec[ae], lecelec[ae]	‘to rap, strike sharply’	Chk nech,nennech, nechenech ‘be struck sharply, tapped, rapped, be rung (of a bell)’, neche-e-(y) ‘strike or tap (s.t. sharply)’; Pul léR ‘ring (as a bell), sound (as hammering or tapping)’, léRe-(y) (sic) ‘ring it’; PuA nnesa ‘ringing of a bell’; PCk *lec[ae]; Pon lɛt, lɛtɛlɛt, lɛtɛ-ŋ ‘to flick, f. it’; Mok les ‘game in which shells are flicked between adjacent squares’, lesles ‘to knock, rap’.		Cf. also PCk *llecú ‘make a loud noise’.	
PPC	*likarikari	‘a fish’	Chk nikeriker ‘butterfly f.’; Crl ligháreghár ‘generic term for bottom feeding f.’; Crn ligáregár ‘generic term for bottom feeding f.’; Wol ligerigeri ‘a f.’; PCk *likarikari; Mok likerker ‘sp. of f. (? harlequin tusk f.)’.			
PPC	*liŋa, liŋaliŋa, lliŋa	‘become visible, be bright, shiny’	Chk niŋ ‘come into view, appear, become visible’, niŋa-(fé) ‘appear anew’, nniŋ, nniŋa-(n) ‘be pleasant or bright of hue, glorious, beautiful, pleasant hue, glory, beauty, its beauty’; Pul liŋ, liŋe-(tá) ‘to come into view (as a ship), appear (as the new moon)’, lliŋ ‘be pretty, beautiful, beauty, fineness’; Crl lliŋ ‘to be beautiful, cute, pretty’; Wol liŋe ‘appear, loom up’, nniŋe ‘be beautiful, pretty’; PuA niŋe-(toko) ‘new moon’; PCk *liŋa, lliŋa; Pon liŋa-(da) ‘appear on the horizon (of land)’, liŋaliŋ ‘bright, clear, shiny’, liŋa-n ‘beautiful, shiny’, liŋɛ ‘its beam of light’; Mok liŋ ‘beautiful (of things)’.	Cf. PPn *NiNila ‘shine, glitter’; UAn *linaŋ ‘glitter, shine’.		
PPC	*li-ŋariŋari	‘angry’	Chk ni-ŋeriŋer ‘exhibit one's dislike in one's face’; Pul li-ŋereŋer ‘be very a.’; Crl li-ŋár, li-ŋáreŋár ‘be quietly furious, be extremely furious’; Wol li-ŋeriŋeri ‘to get a., build up anger’; PCk *li-ŋariŋari; Pon li-ŋɛriŋɛr ‘a.’			
PPC	*lota	‘mat’	Chk noos, nosa-(n) ‘mat, his m.’; Pul loh (sic) ‘sleeping mat’; Pon loos ‘mat’.			
PPC	? *ma	‘if’	Wol me ‘that’ (as in ‘I wish that ...’); Pon ma; Mok ma; Png ma.			It is unclear what to make of this.
PPC	*maal[iu]	‘glare blindness’	Chk máán ‘affliction of the eyes from over-exposure to bright sun, resulting in partial blindness’; Wol maalú ‘to have eye sickness from staying too long in the sun’; Pon maal ‘be excessively bright, temporary blindness induced by excessive light’, maaliɛl ‘eye condition caused by exposure to glare’.			
